#Arquivo csv gerado a partir do script fetch.py;
#Os dados estão organizados por colunas a serem criados no banco, e separados pelo caractere ;(ponto e vírgula);

1;noosfero_person_template;noosfero_template@template.noo
3;jose-santos;jose-santos@localhost.localdomain
4;jose-abreu;jose-abreu@localhost.localdomain
5;jose-oliveira;jose-oliveira@localhost.localdomain
6;jose-machado;jose-machado@localhost.localdomain
7;jose-bonfim;jose-bonfim@localhost.localdomain
8;joao-silva;joao-silva@localhost.localdomain
9;joao-santos;joao-santos@localhost.localdomain
10;joao-abreu;joao-abreu@localhost.localdomain
11;joao-oliveira;joao-oliveira@localhost.localdomain
12;joao-machado;joao-machado@localhost.localdomain
13;joao-bonfim;joao-bonfim@localhost.localdomain
14;antonio-silva;antonio-silva@localhost.localdomain
15;antonio-santos;antonio-santos@localhost.localdomain
16;antonio-abreu;antonio-abreu@localhost.localdomain
17;antonio-oliveira;antonio-oliveira@localhost.localdomain
18;antonio-machado;antonio-machado@localhost.localdomain
19;antonio-bonfim;antonio-bonfim@localhost.localdomain
20;paulo-silva;paulo-silva@localhost.localdomain
21;paulo-santos;paulo-santos@localhost.localdomain
22;paulo-abreu;paulo-abreu@localhost.localdomain
23;paulo-oliveira;paulo-oliveira@localhost.localdomain
24;paulo-machado;paulo-machado@localhost.localdomain
25;paulo-bonfim;paulo-bonfim@localhost.localdomain
2;jose-silva;jose-silva@localhost.localdomain
28;maria-abreu;maria-abreu@localhost.localdomain
29;maria-oliveira;maria-oliveira@localhost.localdomain
30;maria-machado;maria-machado@localhost.localdomain
31;maria-bonfim;maria-bonfim@localhost.localdomain
32;joana-silva;joana-silva@localhost.localdomain
33;joana-santos;joana-santos@localhost.localdomain
34;joana-abreu;joana-abreu@localhost.localdomain
35;joana-oliveira;joana-oliveira@localhost.localdomain
36;joana-machado;joana-machado@localhost.localdomain
37;joana-bonfim;joana-bonfim@localhost.localdomain
38;paula-silva;paula-silva@localhost.localdomain
39;paula-santos;paula-santos@localhost.localdomain
40;paula-abreu;paula-abreu@localhost.localdomain
41;paula-oliveira;paula-oliveira@localhost.localdomain
42;paula-machado;paula-machado@localhost.localdomain
43;paula-bonfim;paula-bonfim@localhost.localdomain
44;angela-silva;angela-silva@localhost.localdomain
45;angela-santos;angela-santos@localhost.localdomain
46;angela-abreu;angela-abreu@localhost.localdomain
47;angela-oliveira;angela-oliveira@localhost.localdomain
48;angela-machado;angela-machado@localhost.localdomain
49;angela-bonfim;angela-bonfim@localhost.localdomain
50;ze;root@localhost.localdomain
26;maria-silva;maria-silva@localhost.localdomain
27;maria-santos;maria-santos@localhost.localdomain
52;guest;guest@localhost.localdomain
51;adminuser;adminuser@localhost.localdomain
